order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,age_group,delivery_speed,gross_amount,discount_amount,net_revenue,net_profit,is_unprofitable
O100011,C15334,P212540,Beauty,16.22,0.0,1,PayPal,2024-07-08,5,South,0,16.22,3.72,3.58,21,Other,18-25,Standard (4-7 days),16.22,0.0,16.22,3.58,0
O100012,C14426,P245991,Grocery,10.56,0.1,1,Credit Card,2024-10-13,4,West,0,9.5,4.99,-4.23,22,Female,18-25,Standard (4-7 days),10.56,1.0600000000000005,9.5,-4.23,1
O100013,C15578,P205339,Toys,7.12,0.0,1,Debit Card,2023-11-01,5,North,0,7.12,3.35,-0.5,56,Female,51-65,Standard (4-7 days),7.12,0.0,7.12,-0.5,1
O100014,C16231,P227020,Home,39.19,0.0,2,Credit Card,2025-02-24,3,North,0,78.38,7.91,14.04,63,Male,51-65,Fast (1-3 days),78.38,0.0,78.38,14.04,0
O100015,C13444,P227609,Home,12.63,0.2,4,Credit Card,2024-05-03,3,North,0,40.42,6.19,5.13,36,Male,36-50,Fast (1-3 days),50.52,10.100000000000001,40.42,5.13,0
O100016,C13171,P205848,Sports,96.61,0.05,1,PayPal,2024-08-25,4,West,0,91.78,3.6,23.93,47,Male,36-50,Standard (4-7 days),96.61,4.829999999999998,91.78,23.93,0
O100017,C12919,P216877,Fashion,16.0,0.0,3,PayPal,2024-09-12,5,South,0,48.0,4.48,12.32,37,Male,36-50,Standard (4-7 days),48.0,0.0,48.0,12.32,0
O100018,C17831,P218405,Electronics,734.32,0.0,2,Wallet,2025-06-20,4,South,0,1468.64,10.9,165.34,58,Female,51-65,Standard (4-7 days),1468.64,0.0,1468.64,165.34,0
O100019,C10130,P248629,Fashion,50.52,0.0,1,Credit Card,2024-10-10,3,North,1,50.52,6.2,11.48,56,Male,51-65,Fast (1-3 days),50.52,0.0,0.0,0.0,0
O100020,C11685,P246233,Toys,17.99,0.0,2,PayPal,2024-05-10,4,West,0,35.98,5.56,8.83,64,Female,51-65,Standard (4-7 days),35.98,0.0,35.98,8.83,0
O100021,C17476,P221471,Fashion,39.54,0.0,1,COD,2024-11-14,6,North,0,39.54,5.3,8.54,49,Other,36-50,Standard (4-7 days),39.54,0.0,39.54,8.54,0
O100022,C10769,P203302,Electronics,128.8,0.0,1,Debit Card,2024-12-14,4,North,0,128.8,7.77,7.69,41,Female,36-50,Standard (4-7 days),128.8,0.0,128.8,7.69,0
O100023,C12391,P214437,Fashion,176.45,0.0,1,Debit Card,2025-05-16,7,South,0,176.45,6.67,55.09,34,Male,26-35,Standard (4-7 days),176.45,0.0,176.45,55.09,0
O100024,C15611,P247930,Sports,345.57,0.15,2,Debit Card,2024-04-16,5,Central,0,587.47,9.48,166.76,32,Female,26-35,Standard (4-7 days),691.14,103.66999999999996,587.47,166.76,0
O100025,C17581,P214512,Beauty,12.49,0.0,3,UPI,2024-08-31,7,East,0,37.47,5.46,11.4,49,Female,36-50,Standard (4-7 days),37.47,0.0,37.47,11.4,0
O100026,C16949,P232436,Sports,157.21,0.15,1,Debit Card,2025-08-26,5,South,0,133.63,6.75,33.34,20,Female,18-25,Standard (4-7 days),157.21,23.580000000000013,133.63,33.34,0
O100027,C12433,P223511,Fashion,11.24,0.0,2,Debit Card,2025-08-19,4,West,0,22.48,6.09,1.78,60,Female,51-65,Standard (4-7 days),22.48,0.0,22.48,1.78,0
O100028,C15311,P205022,Grocery,20.97,0.0,2,PayPal,2024-05-27,6,South,0,41.94,4.61,-1.25,61,Female,51-65,Standard (4-7 days),41.94,0.0,41.94,-1.25,1
O100029,C15051,P243239,Home,54.42,0.0,2,UPI,2023-10-11,6,East,0,108.84,8.05,22.43,36,Female,36-50,Standard (4-7 days),108.84,0.0,108.84,22.43,0
O100030,C16420,P206155,Home,54.93,0.15,1,Credit Card,2023-11-12,6,South,0,46.69,5.74,7.33,44,Male,36-50,Standard (4-7 days),54.93,8.240000000000002,46.69,7.33,0
O100031,C11184,P231480,Grocery,10.32,0.15,1,Debit Card,2024-04-08,7,East,0,8.77,1.24,-0.54,32,Male,26-35,Standard (4-7 days),10.32,1.5500000000000007,8.77,-0.54,1
O100032,C14555,P238022,Grocery,7.56,0.0,1,Credit Card,2023-12-30,5,North,0,7.56,2.06,-1.46,61,Female,51-65,Standard (4-7 days),7.56,0.0,7.56,-1.46,1
O100033,C13385,P225332,Sports,22.33,0.05,1,Credit Card,2024-08-06,4,South,0,21.21,4.26,2.1,26,Male,26-35,Standard (4-7 days),22.33,1.1199999999999974,21.21,2.1,0
O100034,C14117,P204354,Grocery,12.84,0.0,2,Debit Card,2024-08-08,3,North,0,25.68,6.32,-4.27,21,Female,18-25,Fast (1-3 days),25.68,0.0,25.68,-4.27,1
O100035,C16396,P231847,Beauty,8.89,0.0,2,Credit Card,2024-04-04,4,South,0,17.78,4.78,3.22,19,Female,18-25,Standard (4-7 days),17.78,0.0,17.78,3.22,0
O100036,C14843,P235284,Fashion,33.9,0.0,2,Debit Card,2025-05-27,5,South,0,67.8,4.98,18.75,28,Female,26-35,Standard (4-7 days),67.8,0.0,67.8,18.75,0
O100037,C12904,P248640,Fashion,17.92,0.0,1,Credit Card,2024-07-10,5,West,0,17.92,5.86,0.41,28,Male,26-35,Standard (4-7 days),17.92,0.0,17.92,0.41,0
O100038,C17728,P210156,Beauty,50.75,0.0,2,Credit Card,2025-02-13,7,West,0,101.5,6.46,39.22,46,Female,36-50,Standard (4-7 days),101.5,0.0,101.5,39.22,0
O100039,C10474,P222453,Beauty,13.11,0.15,1,Credit Card,2024-08-17,6,West,0,11.14,4.4,0.61,51,Female,51-65,Standard (4-7 days),13.11,1.9699999999999989,11.14,0.61,0
O100040,C11082,P232689,Home,297.65,0.1,1,UPI,2023-12-09,4,South,0,267.88,7.49,67.52,20,Female,18-25,Standard (4-7 days),297.65,29.769999999999982,267.88,67.52,0
O100041,C12558,P223758,Grocery,6.2,0.0,1,COD,2024-03-31,4,West,0,6.2,2.5,-2.0,35,Male,26-35,Standard (4-7 days),6.2,0.0,6.2,-2.0,1
O100042,C17849,P208838,Home,36.05,0.0,2,COD,2025-02-03,4,North,0,72.1,7.24,12.95,36,Female,36-50,Standard (4-7 days),72.1,0.0,72.1,12.95,0
O100043,C12047,P245502,Fashion,47.26,0.15,1,UPI,2023-10-31,5,South,0,40.17,4.94,9.12,48,Male,36-50,Standard (4-7 days),47.26,7.089999999999996,40.17,9.12,0
O100044,C17643,P243790,Electronics,313.25,0.0,1,Debit Card,2024-09-27,8,Central,0,313.25,8.96,28.63,53,Male,51-65,Delayed (8+ days),313.25,0.0,313.25,28.63,0
O100045,C12747,P237976,Grocery,13.7,0.1,3,COD,2025-04-11,4,West,0,36.99,4.09,-1.13,62,Male,51-65,Standard (4-7 days),41.099999999999994,4.109999999999992,36.99,-1.13,1
O100046,C10975,P249346,Toys,9.07,0.0,3,Debit Card,2024-01-11,5,South,0,27.21,6.05,4.83,30,Female,26-35,Standard (4-7 days),27.21,0.0,27.21,4.83,0
O100047,C11806,P213725,Beauty,12.45,0.0,2,Credit Card,2025-05-03,5,West,0,24.9,5.18,6.02,58,Male,51-65,Standard (4-7 days),24.9,0.0,24.9,6.02,0
O100048,C10189,P209337,Toys,7.33,0.0,1,Credit Card,2025-03-19,5,North,0,7.33,3.86,-0.93,55,Female,51-65,Standard (4-7 days),7.33,0.0,7.33,-0.93,1
O100049,C17101,P210701,Toys,53.85,0.05,1,Credit Card,2025-03-12,5,South,0,51.16,5.96,14.5,35,Female,26-35,Standard (4-7 days),53.85,2.690000000000005,51.16,14.5,0
O100050,C12734,P229811,Grocery,16.12,0.0,1,COD,2025-07-14,8,East,0,16.12,4.76,-3.47,66,Female,65+,Delayed (8+ days),16.12,0.0,16.12,-3.47,1
O100051,C13005,P243043,Home,195.87,0.0,4,Credit Card,2024-12-31,5,West,0,783.48,10.37,209.0,43,Female,36-50,Standard (4-7 days),783.48,0.0,783.48,209.0,0
O100052,C14658,P238978,Beauty,8.29,0.0,1,PayPal,2024-09-16,4,North,0,8.29,2.98,0.75,67,Male,65+,Standard (4-7 days),8.29,0.0,8.29,0.75,0
O100053,C11899,P229316,Electronics,402.13,0.0,2,PayPal,2024-01-24,5,South,0,804.26,9.93,86.58,40,Female,36-50,Standard (4-7 days),804.26,0.0,804.26,86.58,0
O100054,C17734,P211544,Grocery,19.94,0.05,1,Debit Card,2023-12-29,6,East,0,18.94,4.96,-3.44,55,Female,51-65,Standard (4-7 days),19.94,1.0,18.94,-3.44,1
O100055,C11267,P221514,Grocery,6.52,0.0,2,Debit Card,2023-11-23,5,South,0,13.04,4.73,-3.69,60,Male,51-65,Standard (4-7 days),13.04,0.0,13.04,-3.69,1
O100056,C16975,P216327,Toys,5.38,0.1,1,COD,2023-12-18,3,Central,0,4.84,3.91,-1.97,57,Female,51-65,Fast (1-3 days),5.38,0.54,4.84,-1.97,1
O100057,C11528,P246809,Home,167.21,0.0,4,Wallet,2023-12-06,3,North,0,668.84,8.88,178.4,37,Female,36-50,Fast (1-3 days),668.84,0.0,668.84,178.4,0
O100058,C13202,P216705,Home,134.37,0.15,1,Wallet,2024-10-30,3,Central,0,114.21,6.65,25.33,53,Male,51-65,Fast (1-3 days),134.37,20.16000000000001,114.21,25.33,0
O100059,C13556,P210479,Home,122.85,0.0,3,COD,2024-08-16,4,North,0,368.55,7.27,95.92,69,Female,65+,Standard (4-7 days),368.54999999999995,-5.684341886080802e-14,368.55,95.92,0
O100060,C13890,P211323,Fashion,14.91,0.0,1,UPI,2024-12-01,5,West,0,14.91,4.93,0.29,69,Male,65+,Standard (4-7 days),14.91,0.0,14.91,0.29,0
O100061,C10646,P212937,Beauty,10.46,0.0,1,Credit Card,2023-11-13,4,North,0,10.46,3.14,1.57,25,Other,18-25,Standard (4-7 days),10.46,0.0,10.46,1.57,0
O100062,C16164,P223089,Electronics,368.67,0.0,1,Debit Card,2024-06-26,6,West,0,368.67,9.91,34.33,36,Male,36-50,Standard (4-7 days),368.67,0.0,368.67,34.33,0
O100063,C12888,P201702,Grocery,13.52,0.1,1,Debit Card,2025-06-24,5,West,0,12.17,2.07,-1.1,22,Female,18-25,Standard (4-7 days),13.52,1.3499999999999996,12.17,-1.1,1
O100064,C16310,P210404,Home,116.53,0.05,1,Credit Card,2024-01-22,4,West,0,110.7,6.97,24.03,59,Male,51-65,Standard (4-7 days),116.53,5.829999999999998,110.7,24.03,0
O100065,C15393,P233598,Grocery,20.24,0.0,1,COD,2025-06-23,5,North,0,20.24,4.74,-3.12,65,Male,51-65,Standard (4-7 days),20.24,0.0,20.24,-3.12,1
O100066,C12435,P208380,Sports,175.75,0.15,1,Debit Card,2025-09-03,5,West,0,149.39,6.15,38.67,58,Female,51-65,Standard (4-7 days),175.75,26.360000000000014,149.39,38.67,0
O100067,C10600,P221990,Fashion,20.91,0.0,1,UPI,2024-02-14,4,North,1,20.91,4.04,3.28,50,Male,36-50,Standard (4-7 days),20.91,0.0,0.0,0.0,0
O100068,C12363,P232859,Fashion,13.43,0.0,4,PayPal,2023-12-15,4,South,0,53.72,6.26,12.54,30,Male,26-35,Standard (4-7 days),53.72,0.0,53.72,12.54,0
O100069,C12061,P203877,Grocery,3.96,0.2,1,PayPal,2023-11-22,5,East,0,3.17,3.06,-2.81,44,Female,36-50,Standard (4-7 days),3.96,0.79,3.17,-2.81,1
O100070,C10241,P242871,Toys,8.5,0.0,2,Debit Card,2024-05-30,8,South,0,17.0,3.51,3.29,25,Female,18-25,Delayed (8+ days),17.0,0.0,17.0,3.29,0
O100071,C12041,P218720,Fashion,150.12,0.0,3,Debit Card,2024-10-18,4,West,0,450.36,8.26,149.37,28,Female,26-35,Standard (4-7 days),450.36,0.0,450.36,149.37,0
O100072,C12824,P207676,Electronics,97.95,0.1,1,Debit Card,2024-09-21,6,East,0,88.16,6.72,3.86,53,Male,51-65,Standard (4-7 days),97.95,9.790000000000006,88.16,3.86,0
O100073,C17513,P231818,Sports,217.48,0.0,1,Credit Card,2025-02-24,6,South,0,217.48,7.67,57.57,24,Male,18-25,Standard (4-7 days),217.48,0.0,217.48,57.57,0
O100074,C12612,P234348,Fashion,16.18,0.0,2,Credit Card,2024-12-06,4,South,0,32.36,4.73,6.6,69,Male,65+,Standard (4-7 days),32.36,0.0,32.36,6.6,0
O100075,C17041,P248555,Fashion,26.06,0.05,3,COD,2023-12-21,5,West,0,74.27,6.24,19.75,46,Other,36-50,Standard (4-7 days),78.17999999999999,3.9099999999999966,74.27,19.75,0
O100076,C11363,P242368,Sports,23.23,0.3,2,Credit Card,2025-02-13,4,Central,0,32.52,5.1,4.66,31,Male,26-35,Standard (4-7 days),46.46,13.939999999999998,32.52,4.66,0
O100077,C16235,P248180,Sports,20.73,0.0,2,COD,2024-05-14,5,West,0,41.46,4.31,8.13,20,Female,18-25,Standard (4-7 days),41.46,0.0,41.46,8.13,0
O100078,C15486,P224130,Home,23.16,0.0,1,UPI,2023-12-20,3,Central,0,23.16,4.81,1.67,45,Male,36-50,Fast (1-3 days),23.16,0.0,23.16,1.67,0
O100079,C17099,P233241,Grocery,6.53,0.0,4,Credit Card,2024-06-28,3,North,0,26.12,6.21,-4.12,68,Male,65+,Fast (1-3 days),26.12,0.0,26.12,-4.12,1
O100080,C11478,P244392,Sports,82.93,0.05,1,Wallet,2024-03-13,4,West,0,78.78,8.3,15.33,59,Female,51-65,Standard (4-7 days),82.93,4.150000000000006,78.78,15.33,0
O100081,C17595,P249421,Grocery,3.95,0.0,1,Wallet,2025-01-23,4,West,0,3.95,2.63,-2.31,38,Female,36-50,Standard (4-7 days),3.95,0.0,3.95,-2.31,1
O100082,C12556,P226620,Fashion,137.66,0.0,1,UPI,2025-04-20,4,South,0,137.66,7.01,41.17,50,Female,36-50,Standard (4-7 days),137.66,0.0,137.66,41.17,0
O100083,C10775,P217077,Fashion,48.41,0.1,4,Credit Card,2023-09-23,6,West,0,174.28,8.27,52.73,29,Female,26-35,Standard (4-7 days),193.64,19.359999999999985,174.28,52.73,0
O100084,C14014,P212663,Electronics,753.1,0.05,1,Debit Card,2024-06-08,4,South,0,715.44,10.44,75.41,28,Male,26-35,Standard (4-7 days),753.1,37.65999999999997,715.44,75.41,0
O100085,C10034,P217799,Fashion,12.92,0.0,3,Wallet,2025-08-04,4,South,0,38.76,6.83,6.74,20,Female,18-25,Standard (4-7 days),38.76,0.0,38.76,6.74,0
O100086,C16349,P247285,Grocery,3.04,0.0,1,Debit Card,2024-06-12,4,South,0,3.04,1.93,-1.69,59,Female,51-65,Standard (4-7 days),3.04,0.0,3.04,-1.69,1
O100087,C13152,P217619,Grocery,25.7,0.1,4,Credit Card,2024-06-18,3,North,0,92.52,9.09,-1.69,32,Male,26-35,Fast (1-3 days),102.8,10.280000000000001,92.52,-1.69,1
O100088,C11955,P203967,Toys,18.51,0.05,1,PayPal,2023-12-20,5,South,0,17.58,3.71,3.32,62,Female,51-65,Standard (4-7 days),18.51,0.9300000000000033,17.58,3.32,0
O100089,C11585,P227488,Beauty,71.36,0.15,1,Debit Card,2024-07-05,7,South,0,60.66,5.34,21.96,34,Male,26-35,Standard (4-7 days),71.36,10.700000000000003,60.66,21.96,0
O100090,C13943,P213211,Toys,5.12,0.0,1,UPI,2025-02-09,6,West,0,5.12,1.8,0.25,59,Female,51-65,Standard (4-7 days),5.12,0.0,5.12,0.25,0
O100091,C17555,P221169,Beauty,3.65,0.0,1,UPI,2024-07-08,4,South,0,3.65,1.97,-0.33,54,Female,51-65,Standard (4-7 days),3.65,0.0,3.65,-0.33,1
O100092,C13073,P230373,Electronics,857.18,0.0,3,COD,2024-08-10,4,West,0,2571.54,12.41,296.17,61,Female,51-65,Standard (4-7 days),2571.54,0.0,2571.54,296.17,0
O100093,C11021,P232669,Home,168.01,0.05,2,Debit Card,2024-01-20,6,East,0,319.22,7.51,81.87,57,Male,51-65,Standard (4-7 days),336.02,16.799999999999955,319.22,81.87,0
O100094,C13461,P206634,Beauty,43.33,0.0,3,Debit Card,2025-07-02,4,Central,0,129.99,6.28,52.22,53,Female,51-65,Standard (4-7 days),129.99,0.0,129.99,52.22,0
O100095,C12613,P200840,Fashion,22.26,0.0,1,Wallet,2025-02-22,7,East,0,22.26,3.96,3.83,27,Male,26-35,Standard (4-7 days),22.26,0.0,22.26,3.83,0
O100096,C15225,P234229,Fashion,5.15,0.05,1,Credit Card,2023-09-12,5,East,0,4.89,3.77,-2.06,36,Male,36-50,Standard (4-7 days),5.15,0.2600000000000007,4.89,-2.06,1
O100097,C13843,P221318,Fashion,37.42,0.1,5,COD,2024-09-26,3,Central,0,168.39,8.25,50.69,29,Male,26-35,Fast (1-3 days),187.10000000000002,18.710000000000036,168.39,50.69,0
O100098,C17989,P215405,Beauty,115.85,0.15,1,Debit Card,2025-05-02,5,West,0,98.47,6.58,37.73,40,Female,36-50,Standard (4-7 days),115.85,17.379999999999995,98.47,37.73,0
O100099,C11500,P247771,Electronics,823.81,0.0,1,COD,2025-05-08,4,South,0,823.81,8.88,89.98,32,Female,26-35,Standard (4-7 days),823.81,0.0,823.81,89.98,0
O100100,C14798,P236240,Sports,17.35,0.1,1,Debit Card,2025-02-25,5,West,1,15.62,4.69,-0.0,41,Male,36-50,Standard (4-7 days),17.35,1.7300000000000022,0.0,0.0,0
O100101,C16545,P215847,Home,37.39,0.2,1,Credit Card,2025-02-04,5,North,0,29.91,3.68,4.69,49,Male,36-50,Standard (4-7 days),37.39,7.48,29.91,4.69,0
O100102,C16873,P223547,Fashion,23.33,0.0,5,Credit Card,2025-05-02,5,Central,0,116.65,7.12,33.71,38,Male,36-50,Standard (4-7 days),116.64999999999999,-1.4210854715202004e-14,116.65,33.71,0
O100103,C15675,P206575,Toys,36.89,0.15,1,Credit Card,2024-11-29,6,East,0,31.36,3.99,8.55,47,Female,36-50,Standard (4-7 days),36.89,5.530000000000001,31.36,8.55,0
O100104,C10161,P230123,Home,239.28,0.2,1,Credit Card,2024-11-14,4,South,0,191.42,8.6,45.0,69,Male,65+,Standard (4-7 days),239.28,47.860000000000014,191.42,45.0,0
O100105,C14297,P204843,Home,36.94,0.0,1,COD,2023-10-23,7,South,0,36.94,5.01,5.33,49,Male,36-50,Standard (4-7 days),36.94,0.0,36.94,5.33,0
O100106,C11981,P227451,Toys,16.98,0.0,2,Credit Card,2024-11-21,4,North,0,33.96,4.16,9.42,19,Male,18-25,Standard (4-7 days),33.96,0.0,33.96,9.42,0
O100107,C10995,P207739,Home,101.74,0.0,2,Wallet,2024-06-08,6,East,0,203.48,7.89,49.08,54,Female,51-65,Standard (4-7 days),203.48,0.0,203.48,49.08,0
O100108,C16413,P214852,Toys,12.52,0.2,1,Credit Card,2024-07-11,3,North,0,10.02,2.22,1.79,51,Male,51-65,Fast (1-3 days),12.52,2.5,10.02,1.79,0
O100109,C14911,P249092,Home,111.08,0.0,1,Debit Card,2024-08-06,5,North,0,111.08,7.66,23.44,39,Male,36-50,Standard (4-7 days),111.08,0.0,111.08,23.44,0
O100110,C13342,P209157,Fashion,22.03,0.05,3,COD,2023-12-23,8,East,0,62.79,5.86,16.12,50,Female,36-50,Delayed (8+ days),66.09,3.3000000000000043,62.79,16.12,0
O100111,C14551,P222406,Beauty,21.58,0.05,3,UPI,2023-12-04,3,North,0,61.5,5.64,22.04,60,Male,51-65,Fast (1-3 days),64.74,3.239999999999995,61.5,22.04,0
O100112,C17629,P247284,Fashion,61.89,0.05,1,COD,2025-01-21,4,South,0,58.8,7.65,12.93,28,Male,26-35,Standard (4-7 days),61.89,3.0900000000000034,58.8,12.93,0
O100113,C13798,P245200,Electronics,70.98,0.0,2,UPI,2025-08-08,4,West,0,141.96,6.85,10.19,46,Female,36-50,Standard (4-7 days),141.96,0.0,141.96,10.19,0
O100114,C11275,P207432,Electronics,1161.68,0.0,1,Credit Card,2024-10-29,4,South,0,1161.68,7.91,131.49,69,Female,65+,Standard (4-7 days),1161.68,0.0,1161.68,131.49,0
O100115,C11016,P218837,Fashion,13.88,0.0,1,Debit Card,2025-05-07,4,South,0,13.88,5.31,-0.45,63,Male,51-65,Standard (4-7 days),13.88,0.0,13.88,-0.45,1
O100116,C17869,P215148,Sports,53.93,0.0,1,Debit Card,2025-06-03,5,North,0,53.93,5.21,10.97,57,Female,51-65,Standard (4-7 days),53.93,0.0,53.93,10.97,0
O100117,C16439,P211194,Toys,14.51,0.0,1,Credit Card,2025-08-04,5,East,0,14.51,4.15,1.65,48,Male,36-50,Standard (4-7 days),14.51,0.0,14.51,1.65,0
O100118,C17892,P232591,Toys,2.82,0.2,3,Credit Card,2025-05-06,5,West,0,6.77,3.43,-0.72,24,Other,18-25,Standard (4-7 days),8.459999999999999,1.6899999999999995,6.77,-0.72,1
O100119,C16863,P214819,Fashion,44.08,0.05,4,Wallet,2023-11-12,8,Central,0,167.5,7.43,51.19,36,Female,36-50,Delayed (8+ days),176.32,8.819999999999993,167.5,51.19,0
O100120,C17916,P206625,Sports,210.6,0.1,1,Credit Card,2023-09-15,4,South,0,189.54,9.21,47.65,66,Female,65+,Standard (4-7 days),210.6,21.060000000000002,189.54,47.65,0
O100121,C10337,P207404,Fashion,118.71,0.0,1,COD,2025-02-04,3,North,0,118.71,6.57,34.98,61,Female,51-65,Fast (1-3 days),118.71,0.0,118.71,34.98,0
O100122,C10878,P214674,Beauty,12.67,0.0,2,PayPal,2025-01-20,6,South,0,25.34,3.95,7.45,42,Male,36-50,Standard (4-7 days),25.34,0.0,25.34,7.45,0
O100123,C11076,P210507,Grocery,11.77,0.2,1,COD,2025-04-06,7,East,0,9.42,1.0,-0.25,48,Female,36-50,Standard (4-7 days),11.77,2.3499999999999996,9.42,-0.25,1
O100124,C14887,P220387,Electronics,537.39,0.15,1,PayPal,2024-02-16,4,Central,1,456.78,9.4,45.41,28,Female,26-35,Standard (4-7 days),537.39,80.61000000000001,0.0,0.0,0
O100125,C13993,P218697,Grocery,4.84,0.0,1,COD,2023-11-18,6,South,0,4.84,1.46,-1.07,33,Female,26-35,Standard (4-7 days),4.84,0.0,4.84,-1.07,1
O100126,C16360,P237391,Toys,16.78,0.0,2,Credit Card,2024-10-02,4,South,1,33.56,5.18,8.24,34,Female,26-35,Standard (4-7 days),33.56,0.0,0.0,0.0,0
O100127,C14859,P219547,Toys,10.98,0.0,1,Debit Card,2025-01-30,5,South,0,10.98,1.74,2.65,23,Female,18-25,Standard (4-7 days),10.98,0.0,10.98,2.65,0
O100128,C16331,P223570,Sports,56.72,0.0,2,COD,2024-02-26,6,East,0,113.44,8.53,25.5,38,Male,36-50,Standard (4-7 days),113.44,0.0,113.44,25.5,0
O100129,C10379,P239783,Toys,3.94,0.05,1,Credit Card,2025-06-09,5,Central,0,3.74,1.52,-0.02,62,Male,51-65,Standard (4-7 days),3.94,0.19999999999999973,3.74,-0.02,1
O100130,C10492,P228037,Grocery,7.88,0.2,1,Credit Card,2025-02-12,7,South,0,6.3,2.16,-1.66,27,Female,26-35,Standard (4-7 days),7.88,1.58,6.3,-1.66,1
O100131,C17208,P230083,Toys,5.45,0.0,3,Wallet,2025-09-02,4,South,0,16.35,4.57,1.97,25,Female,18-25,Standard (4-7 days),16.35,0.0,16.35,1.97,0
O100132,C15276,P248029,Fashion,22.63,0.1,1,Credit Card,2024-06-06,7,East,0,20.37,3.95,3.18,65,Male,51-65,Standard (4-7 days),22.63,2.259999999999998,20.37,3.18,0
O100133,C12062,P240550,Beauty,12.82,0.0,1,Credit Card,2024-04-16,4,Central,0,12.82,3.74,2.03,18,Male,18-25,Standard (4-7 days),12.82,0.0,12.82,2.03,0
O100134,C13884,P237982,Fashion,32.69,0.15,1,UPI,2024-07-16,6,South,0,27.79,7.19,2.54,21,Male,18-25,Standard (4-7 days),32.69,4.899999999999999,27.79,2.54,0
O100135,C10064,P239706,Grocery,33.76,0.0,2,UPI,2024-07-26,6,South,0,67.52,5.44,-0.04,41,Female,36-50,Standard (4-7 days),67.52,0.0,67.52,-0.04,1
O100136,C12568,P202988,Grocery,14.13,0.0,2,COD,2025-05-13,5,Central,0,28.26,5.99,-3.73,58,Female,51-65,Standard (4-7 days),28.26,0.0,28.26,-3.73,1
O100137,C15463,P205156,Beauty,92.86,0.0,1,Credit Card,2025-04-03,5,South,0,92.86,7.23,34.56,51,Female,51-65,Standard (4-7 days),92.86,0.0,92.86,34.56,0
O100138,C15248,P238280,Toys,19.57,0.05,1,PayPal,2024-08-06,6,South,0,18.59,5.17,2.27,40,Male,36-50,Standard (4-7 days),19.57,0.9800000000000004,18.59,2.27,0
O100139,C12027,P209788,Grocery,22.56,0.05,1,Debit Card,2023-11-21,3,North,0,21.43,5.71,-4.0,43,Female,36-50,Fast (1-3 days),22.56,1.129999999999999,21.43,-4.0,1
O100140,C12695,P214185,Fashion,93.34,0.05,2,UPI,2024-03-05,5,Central,0,177.35,6.54,55.53,46,Female,36-50,Standard (4-7 days),186.68,9.330000000000013,177.35,55.53,0
O100141,C11495,P218734,Beauty,35.91,0.1,1,Debit Card,2023-12-19,5,North,0,32.32,5.16,9.38,49,Female,36-50,Standard (4-7 days),35.91,3.5899999999999963,32.32,9.38,0
O100142,C17230,P209971,Home,155.94,0.0,1,PayPal,2023-09-27,4,Central,0,155.94,7.4,36.26,43,Female,36-50,Standard (4-7 days),155.94,0.0,155.94,36.26,0
