customer_id,customer_age,customer_gender,age_group,region
C11478,59,Female,51-65,West
C17595,38,Female,36-50,West
C12556,50,Female,36-50,South
C10775,29,Female,26-35,West
C14014,28,Male,26-35,South
C10034,20,Female,18-25,South
C16349,59,Female,51-65,South
C13152,32,Male,26-35,North
C11955,62,Female,51-65,South
C11585,34,Male,26-35,South
C13943,59,Female,51-65,West
C17555,54,Female,51-65,South
C13073,61,Female,51-65,West
C11021,57,Male,51-65,East
C13461,53,Female,51-65,Central
C12613,27,Male,26-35,East
C15225,36,Male,36-50,East
C13843,29,Male,26-35,Central
C17989,40,Female,36-50,West
C11500,32,Female,26-35,South
C14798,41,Male,36-50,West
C16545,49,Male,36-50,North
C16873,38,Male,36-50,Central
C15675,47,Female,36-50,East
C10161,69,Male,65+,South
C14297,49,Male,36-50,South
C11981,19,Male,18-25,North
C10995,54,Female,51-65,East
C16413,51,Male,51-65,North
C14911,39,Male,36-50,North
C13342,50,Female,36-50,East
C14551,60,Male,51-65,North
C17629,28,Male,26-35,South
C13798,46,Female,36-50,West
C11275,69,Female,65+,South
C11016,63,Male,51-65,South
C17869,57,Female,51-65,North
C16439,48,Male,36-50,East
C17892,24,Other,18-25,West
C16863,36,Female,36-50,Central
C17916,66,Female,65+,South
C10337,61,Female,51-65,North
C10878,42,Male,36-50,South
C11076,48,Female,36-50,East
C14887,28,Female,26-35,Central
C13993,33,Female,26-35,South
C16360,34,Female,26-35,South
C14859,23,Female,18-25,South
C16331,38,Male,36-50,East
C10379,62,Male,51-65,Central
C10492,27,Female,26-35,South
C17208,25,Female,18-25,South
C15276,65,Male,51-65,East
C12062,18,Male,18-25,Central
C13884,21,Male,18-25,South
C10064,41,Female,36-50,South
C12568,58,Female,51-65,Central
C15463,51,Female,51-65,South
C15248,40,Male,36-50,South
C12027,43,Female,36-50,North
C12695,46,Female,36-50,Central
C11495,49,Female,36-50,North
C17230,43,Female,36-50,Central
C15258,52,Female,51-65,North
C15618,31,Male,26-35,West
C16736,38,Female,36-50,West
C10391,37,Female,36-50,West
C15794,50,Female,36-50,North
C14514,36,Female,36-50,West
C16432,19,Female,18-25,East
C14474,38,Female,36-50,East
C15892,19,Female,18-25,South
C13561,58,Female,51-65,South
C12278,31,Female,26-35,North
C17161,24,Male,18-25,Central
C16184,25,Female,18-25,North
C13099,63,Male,51-65,North
C16278,28,Male,26-35,North
C10200,52,Male,51-65,Central
C15959,45,Male,36-50,Central
C14875,36,Female,36-50,North
C17073,50,Female,36-50,South
C13104,32,Male,26-35,West
C17215,38,Male,36-50,Central
C14598,44,Male,36-50,West
C12454,21,Male,18-25,West
C13645,26,Male,26-35,Central
C15847,22,Female,18-25,West
C10804,67,Female,65+,West
C16242,39,Female,36-50,South
C12731,24,Male,18-25,West
C15991,42,Female,36-50,Central
C12773,51,Female,51-65,East
C11570,43,Male,36-50,Central
C15056,55,Female,51-65,Central
C17906,20,Male,18-25,East
C16756,45,Male,36-50,South
C15581,50,Female,36-50,North
C12690,50,Male,36-50,West
C13840,54,Female,51-65,East
C11028,39,Female,36-50,West
C17385,34,Female,26-35,North
C10502,67,Female,65+,West
C16910,37,Female,36-50,North
C14493,45,Male,36-50,East
C10870,64,Female,51-65,West
C16938,45,Male,36-50,North
C14488,40,Female,36-50,East
C10206,56,Female,51-65,Central
C15134,46,Female,36-50,North
C15977,66,Female,65+,North
C17721,22,Male,18-25,North
C17035,55,Female,51-65,West
C11484,29,Male,26-35,East
C17858,62,Male,51-65,Central
C17742,44,Female,36-50,West
C10863,63,Male,51-65,South
C12790,42,Male,36-50,West
C17408,35,Male,26-35,West
C10563,32,Male,26-35,East
C15116,40,Male,36-50,Central
C14191,21,Male,18-25,North
C16019,18,Female,18-25,East
C11757,41,Female,36-50,Central
C16628,24,Male,18-25,South
C17574,18,Female,18-25,East
C16374,36,Male,36-50,East
C16892,25,Male,18-25,Central
C11678,65,Male,51-65,North
C13242,68,Female,65+,North
C14636,35,Male,26-35,East
C11059,36,Female,36-50,North
C16668,56,Male,51-65,East
C15279,59,Male,51-65,East
C11722,32,Male,26-35,Central
C13314,18,Male,18-25,West
C13157,48,Female,36-50,North
C15915,24,Female,18-25,East
C12625,39,Male,36-50,South
C12729,48,Male,36-50,North
C16700,48,Male,36-50,North
C11597,57,Male,51-65,East
C13060,55,Male,51-65,South
C12693,20,Male,18-25,East
C14891,43,Male,36-50,Central
C15147,48,Female,36-50,West
C15739,51,Female,51-65,West
C13627,33,Female,26-35,South
C17965,68,Male,65+,Central
C15450,40,Female,36-50,South
C11663,52,Male,51-65,North
C11529,52,Other,51-65,North
C12038,46,Female,36-50,South
C17515,55,Male,51-65,North
C15592,24,Female,18-25,West
C13302,58,Male,51-65,North
C12237,35,Male,26-35,West
C17392,24,Female,18-25,West
C15504,40,Female,36-50,East
C15496,64,Male,51-65,South
C11306,32,Male,26-35,Central
C14029,35,Male,26-35,Central
C16776,31,Female,26-35,West
C12675,63,Female,51-65,West
C15068,30,Male,26-35,West
C15864,51,Female,51-65,West
C11282,32,Male,26-35,Central
C17526,48,Male,36-50,North
C10709,65,Female,51-65,West
C15575,66,Male,65+,North
C15530,56,Female,51-65,East
C14744,24,Female,18-25,North
C14413,55,Female,51-65,East
C13748,20,Female,18-25,South
C17986,49,Male,36-50,Central
C15353,50,Female,36-50,East
C14779,40,Male,36-50,South
C10663,39,Other,36-50,East
C11998,27,Male,26-35,East
C17994,26,Male,26-35,West
C13445,41,Female,36-50,East
C13743,65,Male,51-65,East
C15727,49,Male,36-50,North
C13304,50,Female,36-50,East
C13763,20,Female,18-25,East
C15232,60,Female,51-65,South
C11853,53,Male,51-65,East
C15616,38,Male,36-50,South
C16585,50,Female,36-50,North
C14659,32,Male,26-35,Central
C11291,52,Male,51-65,North
C13581,55,Female,51-65,South
C17974,19,Female,18-25,North
C13457,44,Male,36-50,East
C17554,39,Male,36-50,East
C17280,24,Female,18-25,West
C11636,55,Male,51-65,North
C13696,61,Male,51-65,South
C12999,48,Male,36-50,North
C10698,62,Female,51-65,North
C12160,60,Male,51-65,South
C14097,65,Female,51-65,East
C14737,49,Male,36-50,Central
C16363,24,Female,18-25,South
C15685,23,Male,18-25,South
C10854,52,Male,51-65,South
C15855,32,Male,26-35,North
C16528,26,Female,26-35,East
C13474,39,Female,36-50,East
C15757,23,Male,18-25,South
C15249,29,Female,26-35,North
C15172,67,Female,65+,West
C11707,59,Female,51-65,North
C12777,62,Male,51-65,North
C15791,28,Male,26-35,North
C11733,25,Female,18-25,West
C15535,36,Female,36-50,Central
C16390,52,Female,51-65,North
C14931,38,Female,36-50,West
C13510,18,Male,18-25,Central
C10202,20,Female,18-25,Central
C13255,68,Female,65+,South
C14218,20,Male,18-25,East
C14496,23,Female,18-25,East
C10766,39,Male,36-50,Central
C14389,50,Female,36-50,East
C12327,68,Male,65+,South
C12931,27,Male,26-35,North
C17777,39,Male,36-50,Central
C10197,18,Male,18-25,Central
C17125,56,Female,51-65,West
C11930,60,Male,51-65,Central
C13582,36,Female,36-50,North
C16895,34,Female,26-35,East
C16287,20,Female,18-25,West
C10608,58,Male,51-65,North
C13272,34,Female,26-35,South
C11147,65,Male,51-65,East
C14282,19,Male,18-25,Central
C13397,51,Female,51-65,East
C12511,23,Female,18-25,North
C17516,50,Male,36-50,South
C11794,48,Female,36-50,East
C10659,36,Female,36-50,South
C12811,69,Female,65+,North
C17098,58,Male,51-65,North
C16051,43,Male,36-50,East
C16546,22,Male,18-25,South
C11369,31,Male,26-35,South
C11986,35,Male,26-35,Central
C15630,43,Male,36-50,North
C10146,68,Female,65+,West
C13219,58,Female,51-65,West
C12911,61,Female,51-65,West
C11734,27,Female,26-35,West
C11843,58,Male,51-65,West
C10488,37,Male,36-50,West
C12976,47,Male,36-50,West
C11959,40,Male,36-50,North
C15759,61,Female,51-65,North
C16694,36,Female,36-50,South
C12385,48,Male,36-50,North
C14736,29,Female,26-35,South
C11802,40,Male,36-50,North
C16616,29,Female,26-35,South
C16065,42,Male,36-50,Central
C16294,37,Male,36-50,South
C15534,30,Female,26-35,West
C14061,20,Male,18-25,West
C13369,44,Male,36-50,Central
C15730,19,Female,18-25,South
C10262,23,Female,18-25,North
C15883,30,Other,26-35,North
C16489,26,Male,26-35,East
C10623,67,Male,65+,East
C13643,18,Female,18-25,South
C14976,29,Female,26-35,South
C12049,53,Female,51-65,South
C17040,39,Female,36-50,West
C15423,52,Female,51-65,Central
C16397,41,Male,36-50,East
C13723,52,Female,51-65,East
C14548,67,Male,65+,North
C13108,58,Female,51-65,East
C14090,28,Male,26-35,South
C17158,57,Female,51-65,East
C12056,38,Female,36-50,South
C17400,45,Male,36-50,East
C13170,66,Female,65+,North
C11682,42,Female,36-50,East
C16959,69,Male,65+,South
C12255,39,Other,36-50,West
C11154,69,Male,65+,East
C14499,65,Male,51-65,South
C16295,24,Female,18-25,South
C16197,57,Male,51-65,North
C13191,42,Female,36-50,North
C11696,29,Male,26-35,North
C13991,33,Male,26-35,Central
C14723,35,Other,26-35,South
C14682,35,Male,26-35,South
C11648,47,Male,36-50,North
C15539,29,Male,26-35,West
C11445,48,Male,36-50,West
C14199,24,Female,18-25,East
C13923,42,Female,36-50,South
C10253,37,Female,36-50,Central
C17394,36,Male,36-50,West
C13183,21,Female,18-25,North
C12557,41,Female,36-50,South
C10098,26,Female,26-35,Central
C12200,28,Female,26-35,East
C15980,21,Male,18-25,North
C12961,33,Male,26-35,North
C16015,55,Male,51-65,Central
C14973,60,Male,51-65,East
C14433,67,Female,65+,South
C13777,35,Female,26-35,South
C12869,33,Male,26-35,North
C13234,32,Female,26-35,West
C13791,55,Male,51-65,West
C10956,64,Male,51-65,North
C15800,29,Male,26-35,North
C14067,29,Female,26-35,North
C10160,69,Male,65+,North
C15699,42,Female,36-50,East
C16944,34,Female,26-35,East
C11300,31,Female,26-35,South
C13987,68,Female,65+,East
C11527,36,Female,36-50,Central
C15511,62,Male,51-65,Central
C15254,28,Male,26-35,Central
C11218,61,Female,51-65,South
C14735,65,Female,51-65,South
C12735,62,Male,51-65,South
C10954,19,Female,18-25,South
C14565,52,Female,51-65,West
C13446,57,Female,51-65,East
C11045,39,Male,36-50,West
C16893,58,Female,51-65,South
C11693,30,Female,26-35,South
C16181,64,Male,51-65,North
C16373,62,Male,51-65,South
C13436,52,Male,51-65,West
C10562,28,Female,26-35,Central
C12485,25,Female,18-25,West
C15895,23,Female,18-25,East
C13354,47,Female,36-50,East
C16170,26,Female,26-35,North
C10225,18,Female,18-25,North
C17444,39,Female,36-50,East
C14893,65,Female,51-65,North
C17776,54,Male,51-65,North
C16427,62,Male,51-65,South
C17022,37,Female,36-50,North
C10959,38,Female,36-50,South
C15600,34,Female,26-35,North
C13067,48,Female,36-50,North
C17996,23,Male,18-25,North
C10815,29,Male,26-35,South
C14754,23,Male,18-25,East
C17683,59,Male,51-65,North
C14642,28,Female,26-35,East
C13120,50,Female,36-50,South
C17679,30,Female,26-35,North
C10016,40,Female,36-50,East
C17339,49,Male,36-50,North
C11243,49,Male,36-50,North
C12205,33,Female,26-35,West
C12524,30,Male,26-35,South
C11069,27,Male,26-35,Central
C12565,46,Female,36-50,North
C11060,50,Male,36-50,South
C13420,66,Female,65+,West
C16640,62,Male,51-65,East
C10301,35,Female,26-35,South
C14276,33,Male,26-35,West
C10606,54,Other,51-65,Central
C10699,35,Female,26-35,South
C15088,35,Other,26-35,South
C11139,61,Female,51-65,East
C10190,21,Female,18-25,Central
C12300,53,Male,51-65,North
C10980,57,Male,51-65,West
C12975,42,Male,36-50,Central
C16102,41,Female,36-50,North
C13327,58,Male,51-65,Central
C13394,67,Female,65+,East
C10127,42,Female,36-50,Central
C12065,19,Male,18-25,Central
C11816,66,Female,65+,East
C15854,59,Male,51-65,South
C16709,50,Male,36-50,East
C10569,49,Male,36-50,South
C15442,43,Female,36-50,East
C11895,55,Other,51-65,South
C12733,23,Male,18-25,South
C13863,64,Female,51-65,Central
C14721,35,Female,26-35,East
C17455,57,Male,51-65,South
C12901,67,Male,65+,North
C11686,24,Female,18-25,North
C13009,42,Male,36-50,West
C17806,61,Male,51-65,South
C10154,49,Male,36-50,West
C12537,37,Male,36-50,South
C11409,38,Female,36-50,West
C14057,42,Male,36-50,North
C10784,32,Male,26-35,West
C13175,59,Male,51-65,North
C17560,58,Female,51-65,North
C17978,64,Male,51-65,East
C14341,37,Male,36-50,South
C17343,29,Male,26-35,West
C17206,69,Female,65+,Central
C15596,40,Female,36-50,West
C15801,55,Female,51-65,West
C12806,53,Male,51-65,North
C10537,48,Female,36-50,West
C15986,65,Male,51-65,South
C11841,59,Female,51-65,South
C15016,31,Male,26-35,East
C12455,57,Male,51-65,North
C10524,29,Male,26-35,West
C16971,59,Female,51-65,East
C15625,23,Male,18-25,East
C12950,38,Male,36-50,North
C17992,50,Male,36-50,South
C14131,45,Male,36-50,South
C14780,42,Male,36-50,South
C14115,57,Male,51-65,South
C12368,41,Male,36-50,East
C13847,48,Female,36-50,East
C16655,48,Female,36-50,Central
C14495,65,Female,51-65,West
C12701,39,Male,36-50,West
C10971,30,Male,26-35,North
C16002,36,Female,36-50,South
C16614,67,Male,65+,East
C11166,50,Male,36-50,East
C15211,69,Male,65+,North
C17521,57,Female,51-65,East
C14929,58,Male,51-65,North
C15919,43,Female,36-50,North
C12774,31,Female,26-35,Central
C11982,54,Male,51-65,West
C10853,60,Male,51-65,West
C14146,66,Male,65+,West
C13736,24,Female,18-25,East
C13769,24,Male,18-25,West
C10574,39,Male,36-50,North
C13261,53,Male,51-65,East
C11148,56,Other,51-65,West
C16293,64,Male,51-65,North
C16457,59,Female,51-65,East
C16713,41,Male,36-50,North
C17509,30,Male,26-35,South
C16448,30,Female,26-35,West
C11715,45,Male,36-50,West
C14777,69,Female,65+,Central
C14933,59,Male,51-65,South
C13854,24,Female,18-25,South
C15173,48,Male,36-50,West
C17146,19,Female,18-25,West
C12491,31,Female,26-35,West
C12660,38,Male,36-50,East
C17136,40,Female,36-50,South
C16407,67,Male,65+,North
C13124,47,Male,36-50,North
C15691,37,Female,36-50,North
C13051,65,Female,51-65,South
C17787,63,Male,51-65,North
C10004,22,Female,18-25,West
C15222,59,Female,51-65,South
C15315,32,Male,26-35,South
C14869,19,Female,18-25,East
C10876,35,Female,26-35,North
C10991,60,Male,51-65,South
C17027,33,Male,26-35,West
C17517,28,Male,26-35,South
C14142,62,Female,51-65,North
C17010,47,Other,36-50,North
C16966,26,Male,26-35,South
C17079,24,Male,18-25,North
C17987,52,Female,51-65,East
C16799,31,Female,26-35,North
C14364,65,Female,51-65,Central
C14465,36,Female,36-50,South
C10635,31,Female,26-35,West
C14752,62,Female,51-65,West
C10119,38,Other,36-50,South
C10830,32,Male,26-35,Central
C15906,65,Male,51-65,West
C13675,19,Female,18-25,Central
C15177,24,Male,18-25,East
C16070,23,Female,18-25,Central
C10740,57,Male,51-65,West
C17641,60,Female,51-65,North
C10116,60,Male,51-65,West
C15949,59,Male,51-65,Central
C12838,24,Female,18-25,Central
C11150,57,Female,51-65,East
C11931,25,Female,18-25,South
C11012,57,Male,51-65,East
C11664,19,Female,18-25,South
C11081,63,Male,51-65,South
C14729,22,Male,18-25,South
C10512,43,Female,36-50,South
C17918,25,Male,18-25,East
C12849,25,Female,18-25,South
C15215,35,Other,26-35,North
C17805,62,Female,51-65,West
C15237,36,Male,36-50,West
C10559,24,Male,18-25,South
C13672,55,Female,51-65,South
C14583,36,Male,36-50,North
C17404,37,Male,36-50,West
C14992,51,Female,51-65,West
C13343,23,Male,18-25,North
C15308,19,Female,18-25,North
C14070,30,Male,26-35,South
C14799,49,Male,36-50,South
C11470,62,Female,51-65,South
C10580,40,Female,36-50,South
C16933,38,Male,36-50,East
C17004,41,Male,36-50,South
C12294,26,Female,26-35,South
C13147,63,Male,51-65,Central
C14249,54,Female,51-65,South
C11679,68,Female,65+,Central
C13506,26,Female,26-35,East
C15092,46,Female,36-50,West
C17253,59,Female,51-65,East
C12744,55,Male,51-65,East
C13356,36,Female,36-50,South
C14045,65,Male,51-65,East
C15188,22,Female,18-25,South
C13118,39,Male,36-50,North
C15104,24,Male,18-25,Central
C12141,51,Female,51-65,North
C15869,37,Female,36-50,East
C15053,18,Other,18-25,South
C13059,60,Female,51-65,North
C15323,18,Female,18-25,North
C12959,24,Male,18-25,East
C12265,50,Female,36-50,South
C16617,31,Female,26-35,Central
C12479,67,Male,65+,North
C16484,47,Male,36-50,South
C14646,50,Male,36-50,West
C11635,62,Male,51-65,North
C15408,45,Female,36-50,West
C17421,20,Female,18-25,West
C14452,31,Male,26-35,South
C12070,59,Female,51-65,North
C15881,41,Female,36-50,North
C16665,43,Male,36-50,East
C15877,60,Female,51-65,North
C17267,66,Male,65+,East
C13251,39,Female,36-50,Central
C17390,43,Male,36-50,Central
C16905,18,Other,18-25,West
C13730,32,Female,26-35,North
C12489,27,Male,26-35,North
C11631,61,Other,51-65,South
C12816,55,Female,51-65,East
C11015,18,Male,18-25,West
C11348,64,Female,51-65,East
C14611,48,Female,36-50,West
C13087,37,Male,36-50,North
C12839,25,Male,18-25,South
C10335,68,Female,65+,West
C15878,35,Male,26-35,South
C16401,69,Male,65+,East
C14592,45,Female,36-50,North
C10895,32,Male,26-35,West
C16303,46,Male,36-50,Central
C13546,36,Male,36-50,South
C10851,48,Male,36-50,North
C11687,47,Male,36-50,North
C16833,69,Male,65+,East
C13746,29,Male,26-35,West
C12427,55,Male,51-65,South
C11568,58,Female,51-65,West
C14000,47,Male,36-50,East
C15052,69,Female,65+,South
C12738,20,Male,18-25,East
C13498,35,Female,26-35,East
C15732,37,Male,36-50,West
C15387,38,Female,36-50,Central
C17744,24,Female,18-25,Central
C15536,58,Male,51-65,East
C15287,60,Male,51-65,North
C13913,39,Female,36-50,West
C11066,30,Female,26-35,North
C17723,19,Female,18-25,West
C14380,63,Male,51-65,West
C12444,37,Female,36-50,West
C14107,50,Male,36-50,North
C15726,53,Male,51-65,East
C13373,43,Male,36-50,Central
C13969,27,Male,26-35,South
C17420,51,Female,51-65,East
C12546,59,Male,51-65,Central
C10753,23,Female,18-25,East
C12082,25,Male,18-25,South
C12896,58,Female,51-65,North
C14185,63,Female,51-65,South
C16748,48,Female,36-50,North
C17113,32,Male,26-35,Central
C11625,24,Male,18-25,North
C13069,30,Male,26-35,South
C10417,54,Male,51-65,North
C10114,57,Male,51-65,South
C10616,27,Female,26-35,South
C13974,53,Female,51-65,South
C13267,21,Male,18-25,South
C10825,55,Male,51-65,North
C17668,26,Female,26-35,North
C15745,18,Male,18-25,South
C11516,64,Male,51-65,South
C13146,22,Male,18-25,East
C10412,55,Male,51-65,North
C17543,64,Male,51-65,North
C17587,64,Male,51-65,West
C10728,40,Female,36-50,West
C13348,33,Female,26-35,East
C17164,58,Other,51-65,Central
C12808,30,Female,26-35,South
C10675,30,Male,26-35,Central
C13465,64,Female,51-65,West
C15988,65,Male,51-65,South
C12504,51,Female,51-65,Central
C12967,32,Female,26-35,Central
C16335,23,Female,18-25,South
C12786,67,Female,65+,South
C17856,48,Male,36-50,East
C11122,53,Male,51-65,North
C14079,54,Male,51-65,East
C11571,39,Female,36-50,West
C15073,23,Male,18-25,East
C12143,64,Female,51-65,East
C16806,19,Male,18-25,Central
C17357,59,Female,51-65,South
C17903,69,Male,65+,Central
C14132,19,Male,18-25,South
C13851,40,Male,36-50,North
C13440,27,Male,26-35,North
C13766,38,Other,36-50,North
C15644,51,Female,51-65,North
C12326,59,Male,51-65,South
C12914,56,Female,51-65,West
C14968,22,Female,18-25,North
C15917,47,Female,36-50,South
C15392,24,Male,18-25,North
C13952,39,Male,36-50,Central
C16205,62,Male,51-65,West
C10595,63,Female,51-65,South
C15999,31,Other,26-35,South
C11365,48,Female,36-50,West
C14492,33,Male,26-35,South
C17186,19,Female,18-25,South
C16320,32,Female,26-35,South
C15731,46,Female,36-50,West
C10395,52,Female,51-65,South
C16588,20,Female,18-25,South
C14171,43,Male,36-50,South
C14360,19,Female,18-25,North
C12502,18,Female,18-25,East
C11819,23,Female,18-25,East
C10717,56,Male,51-65,Central
C12782,35,Female,26-35,Central
C17551,59,Female,51-65,Central
C17731,54,Male,51-65,West
C14946,26,Male,26-35,North
C13577,34,Female,26-35,West
C10143,55,Male,51-65,East
C14980,39,Male,36-50,Central
C13140,42,Female,36-50,East
C17266,65,Male,51-65,West
C14491,57,Male,51-65,Central
C17192,43,Female,36-50,North
C17091,35,Female,26-35,East
C12938,26,Male,26-35,West
C15588,65,Female,51-65,East
C17651,68,Female,65+,North
C13636,49,Male,36-50,South
C13222,21,Female,18-25,Central
C11167,50,Female,36-50,Central
C12616,56,Female,51-65,North
C11062,43,Female,36-50,East
C12156,53,Female,51-65,Central
C17860,32,Female,26-35,West
C15161,28,Male,26-35,Central
C15305,67,Male,65+,West
C12982,60,Female,51-65,East
C16541,35,Male,26-35,North
C13294,19,Female,18-25,South
C11156,62,Female,51-65,South
C17330,53,Male,51-65,South
C10732,50,Female,36-50,South
C14330,55,Female,51-65,West
C16801,33,Female,26-35,South
C14846,35,Male,26-35,South
C16731,30,Female,26-35,North
C17176,61,Male,51-65,North
C17241,51,Male,51-65,East
C10953,34,Male,26-35,East
C12539,51,Male,51-65,East
C17056,61,Male,51-65,East
C13324,60,Male,51-65,North
C13301,67,Female,65+,Central
C11542,18,Female,18-25,West
C15293,59,Female,51-65,South
C15772,57,Female,51-65,North
C11191,69,Other,65+,South
C16313,61,Female,51-65,North
C15512,20,Male,18-25,South
C12993,61,Male,51-65,South
C12681,42,Female,36-50,West
C11217,44,Female,36-50,West
C11540,33,Other,26-35,West
C16172,41,Male,36-50,West
C13236,59,Male,51-65,Central
C15541,68,Female,65+,North
C12386,31,Female,26-35,South
C13719,29,Other,26-35,East
C15615,68,Female,65+,East
C11388,68,Female,65+,Central
C11856,61,Male,51-65,East
C10499,58,Female,51-65,West
C11680,41,Female,36-50,East
C10510,28,Female,26-35,East
C17494,28,Female,26-35,East
C14312,65,Female,51-65,East
C11324,58,Female,51-65,South
C11155,54,Male,51-65,South
C11827,59,Female,51-65,South
C13141,35,Female,26-35,South
C17419,61,Female,51-65,West
C13486,21,Female,18-25,East
C11810,53,Male,51-65,West
C12923,24,Female,18-25,South
C15301,25,Female,18-25,North
C12214,65,Female,51-65,Central
C14186,44,Female,36-50,North
C10713,44,Male,36-50,East
C13602,63,Male,51-65,North
C14134,55,Male,51-65,South
C17293,58,Male,51-65,East
C13522,23,Female,18-25,West
C14268,27,Male,26-35,East
C14748,36,Female,36-50,West
C14849,26,Female,26-35,South
C13709,51,Male,51-65,West
C15779,24,Male,18-25,Central
C16619,42,Other,36-50,West
C10455,59,Male,51-65,West
C14924,61,Female,51-65,South
C10894,32,Male,26-35,North
C11384,45,Male,36-50,North
C11958,60,Female,51-65,East
C13072,52,Female,51-65,Central
C16530,43,Female,36-50,South
C11996,61,Female,51-65,South
C16491,57,Female,51-65,Central
C14285,45,Female,36-50,West
C10504,54,Male,51-65,East
C11214,26,Female,26-35,North
C11531,19,Female,18-25,Central
C17576,40,Male,36-50,South
C10823,42,Female,36-50,West
C10928,41,Female,36-50,Central
C15029,35,Female,26-35,South
C15236,26,Male,26-35,East
C10133,57,Female,51-65,Central
C12105,29,Female,26-35,West
C16815,50,Male,36-50,Central
C16316,50,Female,36-50,Central
C11852,61,Female,51-65,South
C14910,46,Male,36-50,Central
C15268,37,Female,36-50,South
C14175,21,Other,18-25,Central
C12933,36,Female,36-50,Central
C13284,41,Male,36-50,South
C14298,31,Female,26-35,North
C15348,55,Female,51-65,West
C15795,31,Female,26-35,East
C11250,36,Male,36-50,East
C15778,31,Female,26-35,West
C15651,68,Female,65+,East
C13512,56,Male,51-65,Central
C17569,61,Male,51-65,East
C16190,33,Female,26-35,West
C11256,29,Male,26-35,North
C13376,34,Male,26-35,South
C15645,66,Female,65+,Central
C15262,69,Male,65+,North
C13584,66,Female,65+,North
C11396,63,Male,51-65,North
C13637,32,Female,26-35,North
C13330,49,Male,36-50,North
C12703,48,Male,36-50,West
C10470,68,Male,65+,Central
C17114,47,Female,36-50,West
C15131,64,Female,51-65,North
C11353,30,Male,26-35,South
C12783,52,Female,51-65,West
C12831,23,Male,18-25,South
C15063,51,Female,51-65,East
C10357,37,Other,36-50,West
C13019,49,Male,36-50,East
C17575,58,Female,51-65,South
C10667,45,Male,36-50,North
C14468,18,Female,18-25,Central
C15127,23,Male,18-25,West
C11145,40,Male,36-50,East
C15467,42,Male,36-50,East
C16819,52,Male,51-65,Central
C12745,31,Other,26-35,North
C17483,50,Male,36-50,Central
C17345,69,Female,65+,East
C10539,24,Female,18-25,South
C12779,56,Female,51-65,West
C14964,56,Male,51-65,North
C14136,53,Male,51-65,West
C14835,40,Male,36-50,West
C13775,34,Female,26-35,South
C16042,40,Female,36-50,West
C16645,18,Female,18-25,West
C17102,53,Male,51-65,West
C17312,63,Male,51-65,East
C15320,59,Male,51-65,Central
C15024,38,Male,36-50,West
C16132,66,Female,65+,East
C17891,69,Female,65+,East
C12508,51,Female,51-65,South
C10924,51,Female,51-65,South
C12956,30,Male,26-35,Central
C11581,67,Male,65+,Central
C17714,27,Male,26-35,North
C14485,19,Female,18-25,North
C15713,25,Female,18-25,North
C17026,55,Male,51-65,East
C10255,59,Female,51-65,Central
C14804,45,Male,36-50,South
