order_id,customer_id,product_id,order_date,payment_method,quantity,discount,gross_amount,discount_amount,total_amount,shipping_cost,profit_margin,net_revenue,net_profit,returned,is_unprofitable,delivery_time_days,delivery_speed
O100020,C11685,P246233,2024-05-10,PayPal,2,0.0,35.98,0.0,35.98,5.56,8.83,35.98,8.83,0,0,4,Standard (4-7 days)
O100021,C17476,P221471,2024-11-14,COD,1,0.0,39.54,0.0,39.54,5.3,8.54,39.54,8.54,0,0,6,Standard (4-7 days)
O100022,C10769,P203302,2024-12-14,Debit Card,1,0.0,128.8,0.0,128.8,7.77,7.69,128.8,7.69,0,0,4,Standard (4-7 days)
O100023,C12391,P214437,2025-05-16,Debit Card,1,0.0,176.45,0.0,176.45,6.67,55.09,176.45,55.09,0,0,7,Standard (4-7 days)
O100024,C15611,P247930,2024-04-16,Debit Card,2,0.15,691.14,103.66999999999996,587.47,9.48,166.76,587.47,166.76,0,0,5,Standard (4-7 days)
O100025,C17581,P214512,2024-08-31,UPI,3,0.0,37.47,0.0,37.47,5.46,11.4,37.47,11.4,0,0,7,Standard (4-7 days)
O100026,C16949,P232436,2025-08-26,Debit Card,1,0.15,157.21,23.580000000000013,133.63,6.75,33.34,133.63,33.34,0,0,5,Standard (4-7 days)
O100027,C12433,P223511,2025-08-19,Debit Card,2,0.0,22.48,0.0,22.48,6.09,1.78,22.48,1.78,0,0,4,Standard (4-7 days)
O100028,C15311,P205022,2024-05-27,PayPal,2,0.0,41.94,0.0,41.94,4.61,-1.25,41.94,-1.25,0,1,6,Standard (4-7 days)
O100029,C15051,P243239,2023-10-11,UPI,2,0.0,108.84,0.0,108.84,8.05,22.43,108.84,22.43,0,0,6,Standard (4-7 days)
O100030,C16420,P206155,2023-11-12,Credit Card,1,0.15,54.93,8.240000000000002,46.69,5.74,7.33,46.69,7.33,0,0,6,Standard (4-7 days)
O100031,C11184,P231480,2024-04-08,Debit Card,1,0.15,10.32,1.5500000000000007,8.77,1.24,-0.54,8.77,-0.54,0,1,7,Standard (4-7 days)
O100032,C14555,P238022,2023-12-30,Credit Card,1,0.0,7.56,0.0,7.56,2.06,-1.46,7.56,-1.46,0,1,5,Standard (4-7 days)
O100033,C13385,P225332,2024-08-06,Credit Card,1,0.05,22.33,1.1199999999999974,21.21,4.26,2.1,21.21,2.1,0,0,4,Standard (4-7 days)
O100034,C14117,P204354,2024-08-08,Debit Card,2,0.0,25.68,0.0,25.68,6.32,-4.27,25.68,-4.27,0,1,3,Fast (1-3 days)
O100035,C16396,P231847,2024-04-04,Credit Card,2,0.0,17.78,0.0,17.78,4.78,3.22,17.78,3.22,0,0,4,Standard (4-7 days)
O100036,C14843,P235284,2025-05-27,Debit Card,2,0.0,67.8,0.0,67.8,4.98,18.75,67.8,18.75,0,0,5,Standard (4-7 days)
O100037,C12904,P248640,2024-07-10,Credit Card,1,0.0,17.92,0.0,17.92,5.86,0.41,17.92,0.41,0,0,5,Standard (4-7 days)
O100038,C17728,P210156,2025-02-13,Credit Card,2,0.0,101.5,0.0,101.5,6.46,39.22,101.5,39.22,0,0,7,Standard (4-7 days)
O100039,C10474,P222453,2024-08-17,Credit Card,1,0.15,13.11,1.9699999999999989,11.14,4.4,0.61,11.14,0.61,0,0,6,Standard (4-7 days)
O100040,C11082,P232689,2023-12-09,UPI,1,0.1,297.65,29.769999999999982,267.88,7.49,67.52,267.88,67.52,0,0,4,Standard (4-7 days)
O100041,C12558,P223758,2024-03-31,COD,1,0.0,6.2,0.0,6.2,2.5,-2.0,6.2,-2.0,0,1,4,Standard (4-7 days)
O100042,C17849,P208838,2025-02-03,COD,2,0.0,72.1,0.0,72.1,7.24,12.95,72.1,12.95,0,0,4,Standard (4-7 days)
O100043,C12047,P245502,2023-10-31,UPI,1,0.15,47.26,7.089999999999996,40.17,4.94,9.12,40.17,9.12,0,0,5,Standard (4-7 days)
O100044,C17643,P243790,2024-09-27,Debit Card,1,0.0,313.25,0.0,313.25,8.96,28.63,313.25,28.63,0,0,8,Delayed (8+ days)
O100045,C12747,P237976,2025-04-11,COD,3,0.1,41.099999999999994,4.109999999999992,36.99,4.09,-1.13,36.99,-1.13,0,1,4,Standard (4-7 days)
O100046,C10975,P249346,2024-01-11,Debit Card,3,0.0,27.21,0.0,27.21,6.05,4.83,27.21,4.83,0,0,5,Standard (4-7 days)
O100047,C11806,P213725,2025-05-03,Credit Card,2,0.0,24.9,0.0,24.9,5.18,6.02,24.9,6.02,0,0,5,Standard (4-7 days)
O100048,C10189,P209337,2025-03-19,Credit Card,1,0.0,7.33,0.0,7.33,3.86,-0.93,7.33,-0.93,0,1,5,Standard (4-7 days)
O100049,C17101,P210701,2025-03-12,Credit Card,1,0.05,53.85,2.690000000000005,51.16,5.96,14.5,51.16,14.5,0,0,5,Standard (4-7 days)
O100050,C12734,P229811,2025-07-14,COD,1,0.0,16.12,0.0,16.12,4.76,-3.47,16.12,-3.47,0,1,8,Delayed (8+ days)
O100051,C13005,P243043,2024-12-31,Credit Card,4,0.0,783.48,0.0,783.48,10.37,209.0,783.48,209.0,0,0,5,Standard (4-7 days)
O100052,C14658,P238978,2024-09-16,PayPal,1,0.0,8.29,0.0,8.29,2.98,0.75,8.29,0.75,0,0,4,Standard (4-7 days)
O100053,C11899,P229316,2024-01-24,PayPal,2,0.0,804.26,0.0,804.26,9.93,86.58,804.26,86.58,0,0,5,Standard (4-7 days)
O100054,C17734,P211544,2023-12-29,Debit Card,1,0.05,19.94,1.0,18.94,4.96,-3.44,18.94,-3.44,0,1,6,Standard (4-7 days)
O100055,C11267,P221514,2023-11-23,Debit Card,2,0.0,13.04,0.0,13.04,4.73,-3.69,13.04,-3.69,0,1,5,Standard (4-7 days)
O100056,C16975,P216327,2023-12-18,COD,1,0.1,5.38,0.54,4.84,3.91,-1.97,4.84,-1.97,0,1,3,Fast (1-3 days)
O100057,C11528,P246809,2023-12-06,Wallet,4,0.0,668.84,0.0,668.84,8.88,178.4,668.84,178.4,0,0,3,Fast (1-3 days)
O100058,C13202,P216705,2024-10-30,Wallet,1,0.15,134.37,20.16000000000001,114.21,6.65,25.33,114.21,25.33,0,0,3,Fast (1-3 days)
O100059,C13556,P210479,2024-08-16,COD,3,0.0,368.54999999999995,-5.684341886080802e-14,368.55,7.27,95.92,368.55,95.92,0,0,4,Standard (4-7 days)
O100060,C13890,P211323,2024-12-01,UPI,1,0.0,14.91,0.0,14.91,4.93,0.29,14.91,0.29,0,0,5,Standard (4-7 days)
O100061,C10646,P212937,2023-11-13,Credit Card,1,0.0,10.46,0.0,10.46,3.14,1.57,10.46,1.57,0,0,4,Standard (4-7 days)
O100062,C16164,P223089,2024-06-26,Debit Card,1,0.0,368.67,0.0,368.67,9.91,34.33,368.67,34.33,0,0,6,Standard (4-7 days)
O100063,C12888,P201702,2025-06-24,Debit Card,1,0.1,13.52,1.3499999999999996,12.17,2.07,-1.1,12.17,-1.1,0,1,5,Standard (4-7 days)
O100064,C16310,P210404,2024-01-22,Credit Card,1,0.05,116.53,5.829999999999998,110.7,6.97,24.03,110.7,24.03,0,0,4,Standard (4-7 days)
O100065,C15393,P233598,2025-06-23,COD,1,0.0,20.24,0.0,20.24,4.74,-3.12,20.24,-3.12,0,1,5,Standard (4-7 days)
O100066,C12435,P208380,2025-09-03,Debit Card,1,0.15,175.75,26.360000000000014,149.39,6.15,38.67,149.39,38.67,0,0,5,Standard (4-7 days)
O100067,C10600,P221990,2024-02-14,UPI,1,0.0,20.91,0.0,20.91,4.04,3.28,0.0,0.0,1,0,4,Standard (4-7 days)
O100068,C12363,P232859,2023-12-15,PayPal,4,0.0,53.72,0.0,53.72,6.26,12.54,53.72,12.54,0,0,4,Standard (4-7 days)
O100069,C12061,P203877,2023-11-22,PayPal,1,0.2,3.96,0.79,3.17,3.06,-2.81,3.17,-2.81,0,1,5,Standard (4-7 days)
O100070,C10241,P242871,2024-05-30,Debit Card,2,0.0,17.0,0.0,17.0,3.51,3.29,17.0,3.29,0,0,8,Delayed (8+ days)
O100071,C12041,P218720,2024-10-18,Debit Card,3,0.0,450.36,0.0,450.36,8.26,149.37,450.36,149.37,0,0,4,Standard (4-7 days)
O100072,C12824,P207676,2024-09-21,Debit Card,1,0.1,97.95,9.790000000000006,88.16,6.72,3.86,88.16,3.86,0,0,6,Standard (4-7 days)
O100073,C17513,P231818,2025-02-24,Credit Card,1,0.0,217.48,0.0,217.48,7.67,57.57,217.48,57.57,0,0,6,Standard (4-7 days)
O100074,C12612,P234348,2024-12-06,Credit Card,2,0.0,32.36,0.0,32.36,4.73,6.6,32.36,6.6,0,0,4,Standard (4-7 days)
O100075,C17041,P248555,2023-12-21,COD,3,0.05,78.17999999999999,3.9099999999999966,74.27,6.24,19.75,74.27,19.75,0,0,5,Standard (4-7 days)
O100076,C11363,P242368,2025-02-13,Credit Card,2,0.3,46.46,13.939999999999998,32.52,5.1,4.66,32.52,4.66,0,0,4,Standard (4-7 days)
O100077,C16235,P248180,2024-05-14,COD,2,0.0,41.46,0.0,41.46,4.31,8.13,41.46,8.13,0,0,5,Standard (4-7 days)
O100078,C15486,P224130,2023-12-20,UPI,1,0.0,23.16,0.0,23.16,4.81,1.67,23.16,1.67,0,0,3,Fast (1-3 days)
O100079,C17099,P233241,2024-06-28,Credit Card,4,0.0,26.12,0.0,26.12,6.21,-4.12,26.12,-4.12,0,1,3,Fast (1-3 days)
O100080,C11478,P244392,2024-03-13,Wallet,1,0.05,82.93,4.150000000000006,78.78,8.3,15.33,78.78,15.33,0,0,4,Standard (4-7 days)
O100081,C17595,P249421,2025-01-23,Wallet,1,0.0,3.95,0.0,3.95,2.63,-2.31,3.95,-2.31,0,1,4,Standard (4-7 days)
O100082,C12556,P226620,2025-04-20,UPI,1,0.0,137.66,0.0,137.66,7.01,41.17,137.66,41.17,0,0,4,Standard (4-7 days)
O100083,C10775,P217077,2023-09-23,Credit Card,4,0.1,193.64,19.359999999999985,174.28,8.27,52.73,174.28,52.73,0,0,6,Standard (4-7 days)
O100084,C14014,P212663,2024-06-08,Debit Card,1,0.05,753.1,37.65999999999997,715.44,10.44,75.41,715.44,75.41,0,0,4,Standard (4-7 days)
O100085,C10034,P217799,2025-08-04,Wallet,3,0.0,38.76,0.0,38.76,6.83,6.74,38.76,6.74,0,0,4,Standard (4-7 days)
O100086,C16349,P247285,2024-06-12,Debit Card,1,0.0,3.04,0.0,3.04,1.93,-1.69,3.04,-1.69,0,1,4,Standard (4-7 days)
O100087,C13152,P217619,2024-06-18,Credit Card,4,0.1,102.8,10.280000000000001,92.52,9.09,-1.69,92.52,-1.69,0,1,3,Fast (1-3 days)
O100088,C11955,P203967,2023-12-20,PayPal,1,0.05,18.51,0.9300000000000033,17.58,3.71,3.32,17.58,3.32,0,0,5,Standard (4-7 days)
O100089,C11585,P227488,2024-07-05,Debit Card,1,0.15,71.36,10.700000000000003,60.66,5.34,21.96,60.66,21.96,0,0,7,Standard (4-7 days)
O100090,C13943,P213211,2025-02-09,UPI,1,0.0,5.12,0.0,5.12,1.8,0.25,5.12,0.25,0,0,6,Standard (4-7 days)
O100091,C17555,P221169,2024-07-08,UPI,1,0.0,3.65,0.0,3.65,1.97,-0.33,3.65,-0.33,0,1,4,Standard (4-7 days)
O100092,C13073,P230373,2024-08-10,COD,3,0.0,2571.54,0.0,2571.54,12.41,296.17,2571.54,296.17,0,0,4,Standard (4-7 days)
O100093,C11021,P232669,2024-01-20,Debit Card,2,0.05,336.02,16.799999999999955,319.22,7.51,81.87,319.22,81.87,0,0,6,Standard (4-7 days)
O100094,C13461,P206634,2025-07-02,Debit Card,3,0.0,129.99,0.0,129.99,6.28,52.22,129.99,52.22,0,0,4,Standard (4-7 days)
O100095,C12613,P200840,2025-02-22,Wallet,1,0.0,22.26,0.0,22.26,3.96,3.83,22.26,3.83,0,0,7,Standard (4-7 days)
O100096,C15225,P234229,2023-09-12,Credit Card,1,0.05,5.15,0.2600000000000007,4.89,3.77,-2.06,4.89,-2.06,0,1,5,Standard (4-7 days)
O100097,C13843,P221318,2024-09-26,COD,5,0.1,187.10000000000002,18.710000000000036,168.39,8.25,50.69,168.39,50.69,0,0,3,Fast (1-3 days)
O100098,C17989,P215405,2025-05-02,Debit Card,1,0.15,115.85,17.379999999999995,98.47,6.58,37.73,98.47,37.73,0,0,5,Standard (4-7 days)
O100099,C11500,P247771,2025-05-08,COD,1,0.0,823.81,0.0,823.81,8.88,89.98,823.81,89.98,0,0,4,Standard (4-7 days)
O100100,C14798,P236240,2025-02-25,Debit Card,1,0.1,17.35,1.7300000000000022,15.62,4.69,-0.0,0.0,0.0,1,0,5,Standard (4-7 days)
O100101,C16545,P215847,2025-02-04,Credit Card,1,0.2,37.39,7.48,29.91,3.68,4.69,29.91,4.69,0,0,5,Standard (4-7 days)
O100102,C16873,P223547,2025-05-02,Credit Card,5,0.0,116.64999999999999,-1.4210854715202004e-14,116.65,7.12,33.71,116.65,33.71,0,0,5,Standard (4-7 days)
O100103,C15675,P206575,2024-11-29,Credit Card,1,0.15,36.89,5.530000000000001,31.36,3.99,8.55,31.36,8.55,0,0,6,Standard (4-7 days)
O100104,C10161,P230123,2024-11-14,Credit Card,1,0.2,239.28,47.860000000000014,191.42,8.6,45.0,191.42,45.0,0,0,4,Standard (4-7 days)
O100105,C14297,P204843,2023-10-23,COD,1,0.0,36.94,0.0,36.94,5.01,5.33,36.94,5.33,0,0,7,Standard (4-7 days)
O100106,C11981,P227451,2024-11-21,Credit Card,2,0.0,33.96,0.0,33.96,4.16,9.42,33.96,9.42,0,0,4,Standard (4-7 days)
O100107,C10995,P207739,2024-06-08,Wallet,2,0.0,203.48,0.0,203.48,7.89,49.08,203.48,49.08,0,0,6,Standard (4-7 days)
O100108,C16413,P214852,2024-07-11,Credit Card,1,0.2,12.52,2.5,10.02,2.22,1.79,10.02,1.79,0,0,3,Fast (1-3 days)
O100109,C14911,P249092,2024-08-06,Debit Card,1,0.0,111.08,0.0,111.08,7.66,23.44,111.08,23.44,0,0,5,Standard (4-7 days)
O100110,C13342,P209157,2023-12-23,COD,3,0.05,66.09,3.3000000000000043,62.79,5.86,16.12,62.79,16.12,0,0,8,Delayed (8+ days)
O100111,C14551,P222406,2023-12-04,UPI,3,0.05,64.74,3.239999999999995,61.5,5.64,22.04,61.5,22.04,0,0,3,Fast (1-3 days)
O100112,C17629,P247284,2025-01-21,COD,1,0.05,61.89,3.0900000000000034,58.8,7.65,12.93,58.8,12.93,0,0,4,Standard (4-7 days)
O100113,C13798,P245200,2025-08-08,UPI,2,0.0,141.96,0.0,141.96,6.85,10.19,141.96,10.19,0,0,4,Standard (4-7 days)
O100114,C11275,P207432,2024-10-29,Credit Card,1,0.0,1161.68,0.0,1161.68,7.91,131.49,1161.68,131.49,0,0,4,Standard (4-7 days)
O100115,C11016,P218837,2025-05-07,Debit Card,1,0.0,13.88,0.0,13.88,5.31,-0.45,13.88,-0.45,0,1,4,Standard (4-7 days)
O100116,C17869,P215148,2025-06-03,Debit Card,1,0.0,53.93,0.0,53.93,5.21,10.97,53.93,10.97,0,0,5,Standard (4-7 days)
O100117,C16439,P211194,2025-08-04,Credit Card,1,0.0,14.51,0.0,14.51,4.15,1.65,14.51,1.65,0,0,5,Standard (4-7 days)
O100118,C17892,P232591,2025-05-06,Credit Card,3,0.2,8.459999999999999,1.6899999999999995,6.77,3.43,-0.72,6.77,-0.72,0,1,5,Standard (4-7 days)
O100119,C16863,P214819,2023-11-12,Wallet,4,0.05,176.32,8.819999999999993,167.5,7.43,51.19,167.5,51.19,0,0,8,Delayed (8+ days)
O100120,C17916,P206625,2023-09-15,Credit Card,1,0.1,210.6,21.060000000000002,189.54,9.21,47.65,189.54,47.65,0,0,4,Standard (4-7 days)
O100121,C10337,P207404,2025-02-04,COD,1,0.0,118.71,0.0,118.71,6.57,34.98,118.71,34.98,0,0,3,Fast (1-3 days)
O100122,C10878,P214674,2025-01-20,PayPal,2,0.0,25.34,0.0,25.34,3.95,7.45,25.34,7.45,0,0,6,Standard (4-7 days)
O100123,C11076,P210507,2025-04-06,COD,1,0.2,11.77,2.3499999999999996,9.42,1.0,-0.25,9.42,-0.25,0,1,7,Standard (4-7 days)
O100124,C14887,P220387,2024-02-16,PayPal,1,0.15,537.39,80.61000000000001,456.78,9.4,45.41,0.0,0.0,1,0,4,Standard (4-7 days)
O100125,C13993,P218697,2023-11-18,COD,1,0.0,4.84,0.0,4.84,1.46,-1.07,4.84,-1.07,0,1,6,Standard (4-7 days)
O100126,C16360,P237391,2024-10-02,Credit Card,2,0.0,33.56,0.0,33.56,5.18,8.24,0.0,0.0,1,0,4,Standard (4-7 days)
O100127,C14859,P219547,2025-01-30,Debit Card,1,0.0,10.98,0.0,10.98,1.74,2.65,10.98,2.65,0,0,5,Standard (4-7 days)
O100128,C16331,P223570,2024-02-26,COD,2,0.0,113.44,0.0,113.44,8.53,25.5,113.44,25.5,0,0,6,Standard (4-7 days)
O100129,C10379,P239783,2025-06-09,Credit Card,1,0.05,3.94,0.19999999999999973,3.74,1.52,-0.02,3.74,-0.02,0,1,5,Standard (4-7 days)
O100130,C10492,P228037,2025-02-12,Credit Card,1,0.2,7.88,1.58,6.3,2.16,-1.66,6.3,-1.66,0,1,7,Standard (4-7 days)
O100131,C17208,P230083,2025-09-02,Wallet,3,0.0,16.35,0.0,16.35,4.57,1.97,16.35,1.97,0,0,4,Standard (4-7 days)
O100132,C15276,P248029,2024-06-06,Credit Card,1,0.1,22.63,2.259999999999998,20.37,3.95,3.18,20.37,3.18,0,0,7,Standard (4-7 days)
O100133,C12062,P240550,2024-04-16,Credit Card,1,0.0,12.82,0.0,12.82,3.74,2.03,12.82,2.03,0,0,4,Standard (4-7 days)
O100134,C13884,P237982,2024-07-16,UPI,1,0.15,32.69,4.899999999999999,27.79,7.19,2.54,27.79,2.54,0,0,6,Standard (4-7 days)
O100135,C10064,P239706,2024-07-26,UPI,2,0.0,67.52,0.0,67.52,5.44,-0.04,67.52,-0.04,0,1,6,Standard (4-7 days)
O100136,C12568,P202988,2025-05-13,COD,2,0.0,28.26,0.0,28.26,5.99,-3.73,28.26,-3.73,0,1,5,Standard (4-7 days)
O100137,C15463,P205156,2025-04-03,Credit Card,1,0.0,92.86,0.0,92.86,7.23,34.56,92.86,34.56,0,0,5,Standard (4-7 days)
O100138,C15248,P238280,2024-08-06,PayPal,1,0.05,19.57,0.9800000000000004,18.59,5.17,2.27,18.59,2.27,0,0,6,Standard (4-7 days)
O100139,C12027,P209788,2023-11-21,Debit Card,1,0.05,22.56,1.129999999999999,21.43,5.71,-4.0,21.43,-4.0,0,1,3,Fast (1-3 days)
O100140,C12695,P214185,2024-03-05,UPI,2,0.05,186.68,9.330000000000013,177.35,6.54,55.53,177.35,55.53,0,0,5,Standard (4-7 days)
O100141,C11495,P218734,2023-12-19,Debit Card,1,0.1,35.91,3.5899999999999963,32.32,5.16,9.38,32.32,9.38,0,0,5,Standard (4-7 days)
O100142,C17230,P209971,2023-09-27,PayPal,1,0.0,155.94,0.0,155.94,7.4,36.26,155.94,36.26,0,0,4,Standard (4-7 days)
O100143,C15258,P243408,2025-02-13,PayPal,2,0.1,25.28,2.530000000000001,22.75,4.33,4.77,22.75,4.77,0,0,7,Standard (4-7 days)
O100144,C15618,P206487,2024-02-24,COD,1,0.0,120.29,0.0,120.29,7.36,26.32,120.29,26.32,0,0,5,Standard (4-7 days)
O100145,C16736,P220997,2024-06-06,COD,1,0.1,31.17,3.120000000000001,28.05,6.92,1.49,28.05,1.49,0,0,4,Standard (4-7 days)
O100146,C10391,P246456,2023-12-11,Credit Card,1,0.1,136.79,13.679999999999993,123.11,6.32,28.15,123.11,28.15,0,0,4,Standard (4-7 days)
O100147,C15794,P212452,2024-10-16,Wallet,1,0.0,284.7,0.0,284.7,9.1,25.06,284.7,25.06,0,0,6,Standard (4-7 days)
O100148,C14514,P215372,2025-02-20,Debit Card,2,0.0,1160.34,0.0,1160.34,9.05,130.19,1160.34,130.19,0,0,4,Standard (4-7 days)
O100149,C16432,P244767,2023-12-19,UPI,4,0.0,3226.84,0.0,3226.84,11.85,375.37,3226.84,375.37,0,0,6,Standard (4-7 days)
O100150,C14474,P213434,2024-12-04,UPI,4,0.0,385.24,0.0,385.24,9.61,36.62,385.24,36.62,0,0,7,Standard (4-7 days)
O100151,C15892,P212416,2025-07-11,COD,5,0.0,158.85,0.0,158.85,7.94,63.54,158.85,63.54,0,0,5,Standard (4-7 days)
O100152,C13561,P219248,2025-07-05,UPI,2,0.0,609.34,0.0,609.34,9.29,173.51,609.34,173.51,0,0,5,Standard (4-7 days)
O100153,C12278,P246713,2024-01-02,PayPal,1,0.0,862.36,0.0,862.36,10.06,93.42,862.36,93.42,0,0,3,Fast (1-3 days)
O100154,C17161,P228194,2024-03-17,Debit Card,1,0.05,47.06,2.3500000000000014,44.71,5.76,14.36,44.71,14.36,0,0,3,Fast (1-3 days)
O100155,C16184,P233785,2024-12-04,COD,1,0.0,4.21,0.0,4.21,2.28,-0.39,4.21,-0.39,0,1,3,Fast (1-3 days)
O100156,C13099,P237458,2024-11-14,Debit Card,2,0.0,289.14,0.0,289.14,8.7,26.0,289.14,26.0,0,0,3,Fast (1-3 days)
O100157,C16278,P208373,2023-09-18,Credit Card,1,0.0,31.13,0.0,31.13,3.29,5.43,31.13,5.43,0,0,3,Fast (1-3 days)
O100158,C10200,P230283,2025-02-28,PayPal,1,0.2,267.28,53.45999999999998,213.82,7.25,56.9,213.82,56.9,0,0,4,Standard (4-7 days)
O100159,C15959,P229415,2025-07-14,Credit Card,1,0.05,499.11,24.960000000000036,474.15,8.66,48.24,474.15,48.24,0,0,4,Standard (4-7 days)
O100160,C14875,P226414,2024-02-27,Wallet,2,0.2,593.24,118.65000000000003,474.59,8.71,48.24,474.59,48.24,0,0,4,Standard (4-7 days)
O100161,C17073,P214378,2025-07-09,COD,1,0.0,52.12,0.0,52.12,6.56,-2.39,52.12,-2.39,0,1,4,Standard (4-7 days)
O100162,C13104,P218336,2024-01-01,Credit Card,1,0.0,31.3,0.0,31.3,4.71,4.68,31.3,4.68,0,0,4,Standard (4-7 days)
O100163,C17215,P204700,2024-11-10,Debit Card,1,0.1,145.09,14.509999999999991,130.58,8.51,28.05,130.58,28.05,0,0,3,Fast (1-3 days)
O100164,C14598,P213901,2024-04-08,Debit Card,1,0.0,26.03,0.0,26.03,7.52,4.19,26.03,4.19,0,0,4,Standard (4-7 days)
O100165,C12454,P224838,2024-02-12,Credit Card,1,0.2,10.19,2.039999999999999,8.15,3.7,-0.44,8.15,-0.44,0,1,6,Standard (4-7 days)
O100166,C13645,P222597,2024-09-09,UPI,3,0.0,45.21,0.0,45.21,6.94,11.14,45.21,11.14,0,0,3,Fast (1-3 days)
O100167,C15847,P233428,2025-04-26,PayPal,2,0.05,36.4,1.8200000000000003,34.58,5.84,6.26,34.58,6.26,0,0,6,Standard (4-7 days)
O100168,C10804,P240149,2023-10-15,Credit Card,1,0.1,158.84,15.879999999999995,142.96,6.88,33.15,142.96,33.15,0,0,4,Standard (4-7 days)
O100169,C16242,P235687,2025-07-18,Debit Card,2,0.0,32.54,0.0,32.54,4.52,10.12,32.54,10.12,0,0,5,Standard (4-7 days)
O100170,C12731,P229493,2024-04-09,UPI,1,0.0,57.75,0.0,57.75,6.46,0.47,57.75,0.47,0,0,6,Standard (4-7 days)
O100171,C15991,P231852,2025-09-03,PayPal,1,0.0,40.65,0.0,40.65,4.89,-1.64,40.65,-1.64,0,1,3,Fast (1-3 days)
O100172,C12773,P210932,2024-09-10,Wallet,2,0.05,203.28,10.159999999999997,193.12,8.34,45.73,193.12,45.73,0,0,6,Standard (4-7 days)
O100173,C11570,P223009,2025-07-27,UPI,1,0.0,171.02,0.0,171.02,8.52,39.37,171.02,39.37,0,0,3,Fast (1-3 days)
O100174,C15056,P233583,2024-08-09,UPI,2,0.05,7.78,0.39000000000000057,7.39,4.18,-3.59,7.39,-3.59,0,1,4,Standard (4-7 days)
O100175,C17906,P247278,2023-09-27,Debit Card,2,0.0,188.46,0.0,188.46,6.66,15.96,188.46,15.96,0,0,6,Standard (4-7 days)
O100176,C16756,P227994,2025-09-06,Credit Card,3,0.1,2418.93,241.88999999999987,2177.04,9.81,251.43,2177.04,251.43,0,0,6,Standard (4-7 days)
O100177,C15581,P229865,2025-07-31,UPI,1,0.05,97.9,4.900000000000006,93.0,7.45,20.45,93.0,20.45,0,0,3,Fast (1-3 days)
